Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,RPA,Latitude,Longitude,Mapped Location
PD202000174895,03/03/2020 12:00:23 AM,,,43,,P,PROGRESS,4,,,,812C,MT,815,6623,,,
PD202000174896,03/03/2020 12:00:27 AM,,,96,,,,12,,,,835C,MT,835K,8655,,,
PD202000174897,03/03/2020 12:00:56 AM,,,44,,P,PROGRESS,6,,,,215C,E,213K,1241,,,
PD202000174898,03/03/2020 12:01:07 AM,,,96,,,,12,,400,W OLD HICKORY BLVD,723C,M,723,1773,,,
PD202000174899,03/03/2020 12:01:43 AM,,,43,,A,ALARM,11,,,,,MT,823,6925,,,
PD202000174900,03/03/2020 12:01:49 AM,,,43,,P,PROGRESS,6,,5000,NOLENSVILLE PKE,322C,,317Y,0,36.059,-86.716,POINT (-86.716 36.059)
PD202000174901,03/03/2020 12:02:14 AM,,,88,,P,PROGRESS,13,,,,813C,MT,815K,6709,,,
PD202000174902,03/03/2020 12:02:45 AM,20200150858,,43,,PM,,10,,4200,CLARKSVILLE PKE,610C,,237Z,0,36.219,-86.837,POINT (-86.837 36.219)
PD202000174903,03/03/2020 12:03:03 AM,,,40,,PV,,6,,,,511C,H,517N,,,,
PD202000174904,03/03/2020 12:03:20 AM,,,83,,P,PROGRESS,11,,,,,S,321,8713,,,
PD202000174905,03/03/2020 12:04:35 AM,,,87,,P,PROGRESS,5,,,TULIP GROVE RD,523C,,523,9537,,,
PD202000174906,03/03/2020 12:05:17 AM,,,96,,,,12,,,,617C,N,611P,4425,,,
PD202000174908,03/03/2020 12:06:08 AM,,,3,,,,6,,300,WALLACE RD,621B9,,315Y,0,36.077,-86.725,POINT (-86.725 36.077)
PD202000174909,03/03/2020 12:07:24 AM,,,96,,,,12,,0,E CAMPBELL RD,727C,M,727,1759,36.278,-86.71,POINT (-86.71 36.278)
PD202000174910,03/03/2020 12:09:08 AM,,,96,,,,12,,,,722C,M,725K,2137,,,
PD202000174911,03/03/2020 12:09:23 AM,,,96,,,,12,,1300,NEELYS BEND RD,712C,,225W,0,36.241,-86.673,POINT (-86.673 36.241)
PD202000174912,03/03/2020 12:09:26 AM,,,43,,PM,,4,,,,513C,C,415K,4211,,,
