Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,RPA,Latitude,Longitude,Mapped Location
PD202000356016,05/03/2020 12:02:24 AM,,,96,,,,12,,,,125C,W,125K,4811,,,
PD202000356018,05/03/2020 12:03:07 AM,,,96,,,,15,,1100,BROADWAY,411C,,,,,,
PD202000356020,05/03/2020 12:03:58 AM,,,96,,,,12,,,,811C,MT,811K,6711,,,
PD202000356021,05/03/2020 12:04:31 AM,20200312687,,93,,,,6,,,,712C,M,715,1701,,,
PD202000356023,05/03/2020 12:06:19 AM,,,44,,P,PROGRESS,5,,,,625C,N,625,3145,,,
PD202000356024,05/03/2020 12:06:47 AM,,,96,,,,12,,,,811C,MT,811K,6711,,,
PD202000356027,05/03/2020 12:07:13 AM,,,42,,P,PROGRESS,4,,,MM 39 6 I24 E,623C,N,627,3314,36.289,-86.81,POINT (-86.81 36.289)
PD202000356028,05/03/2020 12:07:47 AM,,,93,,,,9T,,,,331C,S,333,8867,,,
PD202000356031,05/03/2020 12:10:02 AM,,,96,,,,12,,,,811C,MT,811K,5711,,,
PD202000356033,05/03/2020 12:10:50 AM,,,59,,P,PROGRESS,5,,1000,PATRICIA DR,531C,,,,,,
PD202000356034,05/03/2020 12:10:52 AM,,,96,,,,4,,,,815C,MT,815,6623,,,
PD202000356035,05/03/2020 12:11:27 AM,,,3,,,,15,,1400,MURFREESBORO PKE,5922,,,,,,
PD202000356036,05/03/2020 12:12:21 AM,,,96,,,,15,,1100,BROADWAY,425C,,,,,,
PD202000356039,05/03/2020 12:16:04 AM,,,87,,P,PROGRESS,4,,,I40 W,532C,,523,9502,,,
PD202000356040,05/03/2020 12:16:27 AM,,,96,,,,12,,,,811C,MT,811K,5709,,,
PD202000356041,05/03/2020 12:16:56 AM,,,93,,,,12,,2000,8TH AV S,823C,,115T,0,36.134,-86.779,POINT (-86.779 36.134)
PD202000356042,05/03/2020 12:17:42 AM,20200312727,,43,,P,PROGRESS,1,,,,713C,M,713,1617,,,
PD202000356044,05/03/2020 12:19:00 AM,,,96,,,,15,,200,WHITE BRIDGE PKE,121C,,132Y,0,36.138,-86.858,POINT (-86.858 36.138)
PD202000356046,05/03/2020 12:20:21 AM,,,43,,P,PROGRESS,5,,,,815C,MT,815,6611,,,
PD202000356047,05/03/2020 12:20:47 AM,,,96,,,,12,,,,811C,MT,811K,5525,,,
PD202000356048,05/03/2020 12:21:01 AM,,,43,,P,PROGRESS,11,,,,313C,MT,835,8651,,,
PD202000356050,05/03/2020 12:22:01 AM,,,88,,PW,,6,,2700,WHITES CREEK PKE,611C,,233W,0,36.219,-86.804,POINT (-86.804 36.219)
PD202000356052,05/03/2020 12:22:29 AM,,,43,,P,PROGRESS,5,,,,531C,S,315,8803,,,
PD202000356053,05/03/2020 12:22:33 AM,,,96,,,,15,,,,421C,C,423K,4079,,,
PD202000356055,05/03/2020 12:23:02 AM,,,92,,P,PROGRESS,4,,,,825B,C,421,4093,,,
PD202000356056,05/03/2020 12:23:09 AM,,,43,,P,PROGRESS,4,,500,HOLT VALLEY RD,122C,PCW,137N,,,,
PD202000356057,05/03/2020 12:24:11 AM,,,15,,P,PROGRESS,15,,200,SHELBY AV,4F86,,,,,,
PD202000356058,05/03/2020 12:24:35 AM,,,96,,,,12,,,,811C,MT,811,5525,,,
PD202000356060,05/03/2020 12:25:56 AM,,,93,,,,9T,,,,5922,S,315,8833,,,
PD202000356063,05/03/2020 12:26:46 AM,,,96,,,,12,,,,811C,MT,811K,5525,,,
PD202000356064,05/03/2020 12:27:05 AM,,,43,,P,PROGRESS,9,,,,221C,E,221,1897,,,
PD202000356065,05/03/2020 12:27:26 AM,,,87,,P,PROGRESS,4,,,,111C,W,115,,,,
PD202000356066,05/03/2020 12:28:26 AM,,,40,,PV,,9S,,5000,BLUE HOLE RD,325C,335,325,8859,,,
PD202000356068,05/03/2020 12:29:09 AM,,,44,,P,PROGRESS,9S,,300,BELL RD,535C,,,,,,
PD202000356069,05/03/2020 12:30:38 AM,,,96,,,,12,,,,123C,W,125K,4815,,,
PD202000356071,05/03/2020 12:31:14 AM,,,96,,,,15,,,,411C,C,411N,4119,,,
PD202000356072,05/03/2020 12:31:41 AM,,,96,,,,12,,,,811C,MT,811K,5525,,,
PD202000356073,05/03/2020 12:32:17 AM,,,43,,P,PROGRESS,5,,1000,THOMPSON PL,531C,,,,,,
PD202000356074,05/03/2020 12:32:34 AM,,,96,,,,15,,1100,BROADWAY,423C,,,,,,
PD202000356075,05/03/2020 12:34:21 AM,,,43,,P,PROGRESS,4,,,,321C,S,321,8705,,,
PD202000356076,05/03/2020 12:34:23 AM,,,43,,P,PROGRESS,6,,200,WHITE BRIDGE PKE,117C,,132Y,0,36.143,-86.858,POINT (-86.858 36.143)
PD202000356077,05/03/2020 12:34:54 AM,,,96,,,,12,,,,123C,W,125K,4815,,,
PD202000356078,05/03/2020 12:35:06 AM,,,96,,,,15,,1200,BROADWAY,425C,,,,,,
PD202000356079,05/03/2020 12:35:31 AM,,,43,,P,PROGRESS,5W,,,,425C,C,423,4025,,,
PD202000356080,05/03/2020 12:35:35 AM,,,96,,,,12,,,,825C,MT,825N,8527,,,
PD202000356082,05/03/2020 12:35:45 AM,,,43,,P,PROGRESS,4,,,,513C,H,513N,,,,
PD202000356084,05/03/2020 12:37:32 AM,,,96,,,,12,,,,811C,MT,811K,5709,,,
PD202000356085,05/03/2020 12:38:29 AM,,,43,,P,PROGRESS,4,,700,AIRWAYS CIR,517C,,331Y,0,36.152,-86.68,POINT (-86.68 36.152)
PD202000356086,05/03/2020 12:38:31 AM,,,96,,,,15,,,,525C,H,525K,9617,,,
PD202000356087,05/03/2020 12:38:47 AM,,,43,,P,PROGRESS,9S,,1000,THOMPSON PL,531C,,,,,,
