Permit #,Permit Subtype Description,Permit Status,Date Issued,Expiration Date,Address,City,State,ZIP,Mapped Location
2018006655,Short Term Rental � Multifamily,ISSUED,4/26/2018 0:00,4/26/2021 0:00,10  MIDDLETON ST,NASHVILLE,TN,37210,"10 MIDDLETON ST
NASHVILLE, TN 37210
(36.154604, -86.770035)"
2017036982,Short Term Rental � Multifamily,ISSUED,6/9/2017 0:00,6/9/2021 0:00,100  CASPER AVE,NASHVILLE,TN,37216,"100 CASPER AVE
NASHVILLE, TN 37216"
201614686,Short Term Rental � Multifamily,ISSUED,5/3/2016 0:00,5/3/2021 0:00,100 N 8TH ST,NASHVILLE,TN,37206,"100 N 8TH ST
NASHVILLE, TN 37206
(36.175679, -86.759028)"
2018013563,Short Term Rental � Multifamily,ISSUED,3/23/2018 0:00,3/23/2021 0:00,1000  1ST AVE N,NASHVILLE,TN,37201,"1000 1ST AVE N
NASHVILLE, TN 37201
(36.174259, -86.781467)"
2019039699,Short Term Rental � Multifamily,ISSUED,7/18/2019 0:00,7/18/2021 0:00,1000  WARREN ST  101,NASHVILLE,TN,37208,"1000 WARREN ST 101
NASHVILLE, TN 37208
(36.170493, -86.794836)"
201514357,Short Term Rental - Non-Owner Occupied,ISSUED,4/16/2015 0:00,4/16/2021 0:00,1001  WAVERLY AVE,NASHVILLE,TN,37203,"1001 WAVERLY AVE
NASHVILLE, TN 37203
(36.135517, -86.78489)"
201523424,Short Term Rental - Non-Owner Occupied,ISSUED,6/9/2015 0:00,6/9/2021 0:00,1002  11TH AVE N,NASHVILLE,TN,37208,"1002 11TH AVE N
NASHVILLE, TN 37208
(36.17002, -86.795825)"
2019010161,Short Term Rental � Multifamily,ISSUED,3/12/2019 0:00,3/12/2021 0:00,1002  11TH AVE S,NASHVILLE,TN,37203,"1002 11TH AVE S
NASHVILLE, TN 37203
(36.145178, -86.784596)"
2019018341,Short Term Rental � Multifamily,EXPIRED,4/12/2019 0:00,4/12/2020 0:00,1002  1ST AVE N,NASHVILLE,TN,37201,"1002 1ST AVE N
NASHVILLE, TN 37201
(36.174304, -86.781498)"
2019068660,Short Term Rental � Multifamily,ISSUED,11/21/2019 0:00,11/21/2020 0:00,1002  DIVISION ST  201,NASHVILLE,TN,37203,"1002 DIVISION ST 201
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2019068680,Short Term Rental � Multifamily,ISSUED,11/21/2019 0:00,11/21/2020 0:00,1002  DIVISION ST  202,NASHVILLE,TN,37203,"1002 DIVISION ST 202
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2019068691,Short Term Rental � Multifamily,ISSUED,11/21/2019 0:00,11/21/2020 0:00,1002  DIVISION ST  203,NASHVILLE,TN,37203,"1002 DIVISION ST 203
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2019068724,Short Term Rental � Multifamily,ISSUED,11/21/2019 0:00,11/21/2020 0:00,1002  DIVISION ST  204,NASHVILLE,TN,37203,"1002 DIVISION ST 204
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2017038437,Short Term Rental � Multifamily,EXPIRED,6/30/2017 0:00,6/30/2020 0:00,1002  DIVISION ST  205,NASHVILLE,TN,37203,"1002 DIVISION ST 205
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2017038464,Short Term Rental � Multifamily,ISSUED,6/30/2017 0:00,6/30/2021 0:00,1002  DIVISION ST  207,NASHVILLE,TN,37203,"1002 DIVISION ST 207
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2019068727,Short Term Rental � Multifamily,ISSUED,11/21/2019 0:00,11/21/2020 0:00,1002  DIVISION ST  208,NASHVILLE,TN,37203,"1002 DIVISION ST 208
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2017038466,Short Term Rental � Multifamily,ISSUED,6/30/2017 0:00,6/30/2023 0:00,1002  DIVISION ST  209,NASHVILLE,TN,37203,"1002 DIVISION ST 209
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2019070585,Short Term Rental � Multifamily,ISSUED,11/20/2019 0:00,11/20/2020 0:00,1002  DIVISION ST  301,NASHVILLE,TN,37203,"1002 DIVISION ST 301
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2017038479,Short Term Rental � Multifamily,ISSUED,6/30/2017 0:00,6/30/2023 0:00,1002  DIVISION ST  302,NASHVILLE,TN,37203,"1002 DIVISION ST 302
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2017038487,Short Term Rental � Multifamily,ISSUED,6/30/2017 0:00,6/30/2021 0:00,1002  DIVISION ST  304,NASHVILLE,TN,37203,"1002 DIVISION ST 304
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2019070595,Short Term Rental � Multifamily,ISSUED,11/20/2019 0:00,11/20/2020 0:00,1002  DIVISION ST  305,NASHVILLE,TN,37203,"1002 DIVISION ST 305
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2017038490,Short Term Rental � Multifamily,ISSUED,6/30/2017 0:00,6/30/2021 0:00,1002  DIVISION ST  306,NASHVILLE,TN,37203,"1002 DIVISION ST 306
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2017038496,Short Term Rental � Multifamily,ISSUED,6/30/2017 0:00,6/30/2021 0:00,1002  DIVISION ST  307,NASHVILLE,TN,37203,"1002 DIVISION ST 307
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2017038509,Short Term Rental � Multifamily,ISSUED,6/30/2017 0:00,6/30/2021 0:00,1002  DIVISION ST  309,NASHVILLE,TN,37203,"1002 DIVISION ST 309
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2019070603,Short Term Rental � Multifamily,ISSUED,11/21/2019 0:00,11/21/2020 0:00,1002  DIVISION ST  401,NASHVILLE,TN,37203,"1002 DIVISION ST 401
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2019070621,Short Term Rental � Multifamily,ISSUED,11/20/2019 0:00,11/20/2020 0:00,1002  DIVISION ST  402,NASHVILLE,TN,37203,"1002 DIVISION ST 402
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2019070627,Short Term Rental � Multifamily,ISSUED,11/20/2019 0:00,11/20/2020 0:00,1002  DIVISION ST  403,NASHVILLE,TN,37203,"1002 DIVISION ST 403
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2019070646,Short Term Rental � Multifamily,ISSUED,11/20/2019 0:00,11/20/2020 0:00,1002  DIVISION ST  404,NASHVILLE,TN,37203,"1002 DIVISION ST 404
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2019075887,Short Term Rental � Multifamily,ISSUED,1/2/2020 0:00,1/2/2021 0:00,1002  DIVISION ST  405,NASHVILLE,TN,37203,"1002 DIVISION ST 405
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2019076095,Short Term Rental � Multifamily,ISSUED,1/2/2020 0:00,1/2/2021 0:00,1002  DIVISION ST  406,NASHVILLE,TN,37203,"1002 DIVISION ST 406
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2019076135,Short Term Rental � Multifamily,ISSUED,1/2/2020 0:00,1/2/2021 0:00,1002  DIVISION ST  407,NASHVILLE,TN,37203,"1002 DIVISION ST 407
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2019076140,Short Term Rental � Multifamily,ISSUED,1/2/2020 0:00,1/2/2021 0:00,1002  DIVISION ST  408,NASHVILLE,TN,37203,"1002 DIVISION ST 408
NASHVILLE, TN 37203
(36.150955, -86.783129)"
2019076145,Short Term Rental � Multifamily,ISSUED,1/2/2020 0:00,1/2/2021 0:00,1002  DIVISION ST  409,NASHVILLE,TN,37203,"1002 DIVISION ST 409
NASHVILLE, TN 37203
(36.150955, -86.783129)"
